Date,Open,High,Low,Close,Volume
2025-05-13,231.71,260.42,231.4,256.9,24482615.0
2025-05-14,256.72,264.49,253.55,263.41,10359676.0
2025-05-15,256.11,257.85,240.0,244.44,16411389.0
2025-05-16,249.76,270.43,248.83,266.46,20180551.0
2025-05-19,259.62,267.6,259.61,263.99,6673033.0
2025-05-20,265.25,265.36,257.24,261.38,4896154.0
2025-05-21,260.2,270.38,257.75,258.99,7475077.0
2025-05-22,265.13,277.01,263.51,271.95,8835934.0
2025-05-23,263.0,268.04,260.34,263.16,5002390.0
2025-05-27,268.81,270.1,264.67,266.4,4232397.0
2025-05-28,265.7,265.7,253.8,254.29,4464568.0
2025-05-29,258.72,258.94,246.76,248.84,3705019.0
2025-05-30,246.72,249.96,244.13,246.62,3153189.0
2025-06-02,247.46,249.86,240.91,246.72,3188361.0
2025-06-03,248.39,260.6,246.21,258.91,6026151.0
2025-06-04,257.3,261.57,254.34,256.0,3156266.0
2025-06-05,261.05,265.65,240.08,244.2,7088162.0
2025-06-06,250.78,256.17,249.78,251.27,3809274.0
2025-06-09,255.66,258.25,252.4,256.63,3371714.0
2025-06-10,258.88,262.4,251.63,254.94,2974789.0
2025-06-11,257.21,259.9,249.06,250.68,3346938.0
2025-06-12,246.82,247.75,239.34,241.05,4051729.0
2025-06-13,237.51,243.2,235.29,242.71,4253208.0
2025-06-16,247.77,263.3,245.32,261.57,6235285.0
2025-06-17,256.63,259.63,248.68,253.85,4671954.0
2025-06-18,254.0,299.32,251.88,295.29,24014342.0
2025-06-20,303.57,310.75,298.1,308.38,17857645.0
2025-06-23,302.07,314.25,294.56,307.59,10109087.0
2025-06-24,314.3,348.97,311.9,344.82,18995240.0
2025-06-25,360.49,369.28,343.62,355.37,17928331.0
2025-06-26,354.53,382.0,354.53,375.07,17122945.0
2025-06-27,369.5,372.5,346.66,353.43,15436033.0
2025-06-30,359.26,360.45,347.9,350.49,6378038.0
2025-07-01,340.02,353.4,334.0,335.33,7529130.0
2025-07-02,340.55,357.16,338.68,354.45,7298393.0
2025-07-03,350.35,357.87,348.5,355.8,3473586.0
2025-07-07,354.06,364.0,351.0,357.1,4837585.0
2025-07-08,362.75,368.79,348.0,354.82,5794165.0
2025-07-09,358.54,374.0,353.29,373.85,8219070.0
2025-07-10,372.41,389.16,369.0,388.96,10074429.0
2025-07-11,390.19,395.5,378.37,387.06,9945154.0
2025-07-14,392.5,398.5,388.58,394.01,7567224.0
2025-07-15,391.53,400.88,373.02,388.02,9672171.0
2025-07-16,392.79,405.88,391.46,398.2,8610425.0
2025-07-17,399.7,415.96,394.27,410.75,9789592.0
2025-07-18,419.82,444.65,406.5,419.78,17730185.0
2025-07-21,425.55,436.38,413.44,413.63,9607983.0
2025-07-22,419.01,420.98,394.37,404.44,8578977.0
2025-07-23,399.99,400.72,387.12,397.81,7071853.0
2025-07-24,404.25,405.31,392.0,396.7,4489130.0
2025-07-25,391.9,397.48,386.38,391.66,4638839.0
